"IndivYr","AnimalID","VI95","VI50","Dist","MigStatus","MigRank","Date","AvgDE","DEclass","AvgGHerb","AvgGShrub","AvgGForage","IFBF","preg_pspb","LactStatus","girthmass","adjmass","Age","HRarea"
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-18,2.56634162524481,"Marginal",7.52125288098042,17.5276331119816,25.048885992962,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-19,2.73668495439822,"Marginal",7.15109241833821,19.942930011341,27.0940224296792,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-20,2.67559612417479,"Marginal",9.51413041075073,11.8075056614361,21.3216360721868,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-21,2.59030460825237,"Marginal",10.6206952030301,8.34393396409372,18.9646291671238,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-22,2.73308865060501,"Marginal",7.33836143655289,60.2618706596919,67.6002320962448,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-23,2.73101655146543,"Marginal",4.99891634334517,22.6896028630777,27.6885192064229,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-24,2.66828919684071,"Marginal",7.2046254871151,22.2188472617716,29.4234727488867,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-25,2.58800598445572,"Marginal",5.5150260224535,14.902561300223,20.4175873226765,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-26,2.70597934853196,"Marginal",14.0071066856994,14.6594513190337,28.6665580047331,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-27,2.79110800333146,"Good",7.11727628255706,11.9322882441884,19.0495645267455,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-28,2.7547699756546,"Good",5.99344659186731,17.3456130028942,23.3390595947615,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-29,2.67730605175981,"Marginal",5.60299980609028,18.5900312192139,24.1930310253042,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-30,2.62918329108991,"Marginal",3.17555583207683,33.4902996848686,36.6658555169454,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-31,2.61050281548615,"Marginal",2.31067532442712,37.1691005434598,39.4797758678869,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-01,2.74928814455956,"Marginal",7.44352367282177,41.5300598955922,48.973583568414,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-02,2.75427250059298,"Good",11.2742446780686,39.1599474931258,50.4341921711944,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-03,2.73150224940836,"Marginal",7.03531002263689,85.1279070015833,92.1632170242202,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
