"IndivYr","AnimalID","VI95","VI50","MigRank","MigStatus","Date","AvgGHerb","AvgGShrub","AvgDE","DEclass","AvgGForage","IFBF","preg_pspb","LactStatus","girthmass","adjmass","Age","HRarea"
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-09",24.1227844230077,30.9202041857056,2.96126682134014,"Excellent",55.0429886087133,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-10",21.7062819066371,28.9052069913858,2.95137822765757,"Excellent",50.6114888980229,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-11",36.2506500328559,15.362729381414,3.05726487905401,"Excellent",51.6133794142699,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-12",35.0445700035023,15.3562918531376,2.98573486936081,"Excellent",50.4008618566399,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-13",41.92133374976,0.274157059142425,2.89285231893496,"Good",42.1954908089024,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-14",24.6900956308084,27.6351705513077,2.9739668622924,"Excellent",52.3252661821161,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-15",30.1952572640901,35.7140993424866,2.90623649310594,"Excellent",65.9093566065767,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-16",29.9846122799306,25.3352558191946,2.99982214750476,"Excellent",55.3198680991252,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-17",33.8630261991837,22.061715162846,2.99760907270181,"Excellent",55.9247413620297,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-18",21.0476273995893,1.91766673636787,2.96724002648487,"Excellent",22.9652941359572,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-19",26.4846018034181,8.15005763062702,3.0118325410781,"Excellent",34.6346594340451,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-20",27.9694885055682,0.219454268509196,3.00861052909709,"Excellent",28.1889427740774,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-21",27.2802453397276,0.249841629688978,2.98842018601144,"Excellent",27.5300869694166,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-22",37.4531088409834,2.07012180183514,3.08554197825484,"Excellent",39.5232306428185,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-23",32.7410798597028,0.149198392189145,3.06428901364388,"Excellent",32.8902782518919,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-24",28.5480615464499,2.46868756009281,3.04254263173901,"Excellent",31.0167491065427,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-25",28.324674771584,0.819841184926955,3.05003704575176,"Excellent",29.144515956511,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-26",33.2709949061907,0.292279471734839,3.04588179664214,"Excellent",33.5632743779255,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-27",36.0745213314734,0.0328654627352831,3.01203834407219,"Excellent",36.1073867942087,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-28",33.4824429333475,2.0276631084446,3.02738329788137,"Excellent",35.5101060417921,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-29",44.9083806681118,0.113483740822364,2.94955572690987,"Excellent",45.0218644089342,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-30",31.7904893613995,0.0335388385024957,2.89717474376888,"Good",31.824028199902,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-31",32.1228707570111,1.25333254075018,3.04706057954905,"Excellent",33.3762032977613,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140480-15",140480,0.421525911597712,0.0570603338913298,5,"Resident","2015-07-01",13.7551861394107,34.7017351559363,2.81862115297916,"Good",48.456921295347,9.076155745,1,"No",272.4236967,189.2737013,6,9479.07091728134
"140480-15",140480,0.421525911597712,0.0570603338913298,5,"Resident","2015-07-02",25.9431260444153,0.282251829861648,2.84767492661475,"Good",26.2253778742769,9.076155745,1,"No",272.4236967,189.2737013,6,9479.07091728134
"140480-15",140480,0.421525911597712,0.0570603338913298,5,"Resident","2015-07-03",34.0813328316414,2.10068869293117,2.85914859289575,"Good",36.1820215245726,9.076155745,1,"No",272.4236967,189.2737013,6,9479.07091728134
"140480-15",140480,0.421525911597712,0.0570603338913298,5,"Resident","2015-07-04",26.2048969035103,0.665811734775332,2.90131050663013,"Excellent",26.8707086382856,9.076155745,1,"No",272.4236967,189.2737013,6,9479.07091728134
"140480-15",140480,0.421525911597712,0.0570603338913298,5,"Resident","2015-07-05",18.1273391005671,2.63017126046294,2.89629865950238,"Good",20.75751036103,9.076155745,1,"No",272.4236967,189.2737013,6,9479.07091728134
"140480-15",140480,0.421525911597712,0.0570603338913298,5,"Resident","2015-07-06",22.1458806507149,11.240643511411,2.86318065527676,"Good",33.3865241621259,9.076155745,1,"No",272.4236967,189.2737013,6,9479.07091728134
"140480-15",140480,0.421525911597712,0.0570603338913298,5,"Resident","2015-07-07",13.8074091023963,19.5033853723214,2.84005287439792,"Good",33.3107944747177,9.076155745,1,"No",272.4236967,189.2737013,6,9479.07091728134
"140480-15",140480,0.421525911597712,0.0570603338913298,5,"Resident","2015-07-08",26.1716358135493,0.864988811056688,2.89588039900666,"Good",27.036624624606,9.076155745,1,"No",272.4236967,189.2737013,6,9479.07091728134
"140480-15",140480,0.421525911597712,0.0570603338913298,5,"Resident","2015-07-09",27.3164827568375,10.4946908530935,2.94078411504711,"Excellent",37.811173609931,9.076155745,1,"No",272.4236967,189.2737013,6,9479.07091728134
"140480-15",140480,0.421525911597712,0.0570603338913298,5,"Resident","2015-07-10",28.2913461767136,0.224694871293954,2.85678650003473,"Good",28.5160410480076,9.076155745,1,"No",272.4236967,189.2737013,6,9479.07091728134
"140480-15",140480,0.421525911597712,0.0570603338913298,5,"Resident","2015-07-11",43.8120548952846,0.0478499763942241,3.01134018442098,"Excellent",43.8599048716788,9.076155745,1,"No",272.4236967,189.2737013,6,9479.07091728134
"140480-15",140480,0.421525911597712,0.0570603338913298,5,"Resident","2015-07-12",29.0989229692493,20.0158643708322,3.01200197856631,"Excellent",49.1147873400815,9.076155745,1,"No",272.4236967,189.2737013,6,9479.07091728134
"140480-15",140480,0.421525911597712,0.0570603338913298,5,"Resident","2015-07-13",21.9629064711542,0.314791284916864,2.75943177982282,"Good",22.2776977560711,9.076155745,1,"No",272.4236967,189.2737013,6,9479.07091728134
"140480-15",140480,0.421525911597712,0.0570603338913298,5,"Resident","2015-07-14",40.2709680090321,0.0216387950902518,3.01137487658037,"Excellent",40.2926068041224,9.076155745,1,"No",272.4236967,189.2737013,6,9479.07091728134
"140480-15",140480,0.421525911597712,0.0570603338913298,5,"Resident","2015-07-15",29.1927826537656,0.0385961254894702,2.87946986275003,"Good",29.2313787792551,9.076155745,1,"No",272.4236967,189.2737013,6,9479.07091728134
